,Unnamed: 0.1,Unnamed: 0,Name,Distance,Mass,Radius,Gravity
0,0,0,Sun,0.000015813,1.989e+30,695700000.0,190694695989.6507
1,1,1,Sirius,0008.6,4.1769e+30,1189647000.0,234186468759.22018
2,2,2,Canopus,0310,2.9835e+31,49394700000.0,40287611828.799446
3,3,3,Alpha Centauri,0004.4,2.1879e+30,834840000.0,174803471323.8465
4,4,4,Arcturus,0037,2.1879e+30,18088200000.0,8067852522.639069
5,5,5,Vega,0025,4.3758e+30,1878390000.0000002,155380863398.97464
6,6,6,Capella,0043,5.1714e+30,8348400000.0,41317184131.090996
7,7,7,Rigel,0860,4.574699999999999e+31,54890730000.00001,55589074876.57751
8,8,8,Procyon,0011.4,2.9835e+30,1321830000.0,150548444202.3558
9,9,9,Betelgeuse,0640[1],3.978e+31,660915000000.0,4014625178.729489
10,10,10,Achernar,0144,1.33263e+31,6470010000.000001,137382200336.63005
11,11,11,Hadar,0390,2.08845e+31,5983020000.0,232824919522.24796
12,12,12,Altair,0017,3.5802e+30,1252260000.0,190694695989.6507
13,13,13,Acrux,0320,3.5801999999999996e+31,6191730000.0,385674666046.48456
14,14,14,Aldebaran,0065,2.9835e+30,30610800000.0,6500955545.101728
15,15,15,Antares,0600,2.3868e+31,473076000000.0,3365200517.464424
16,16,16,Spica,0260,2.2734269999999998e+31,5196879000.0,291785860128.7426
17,17,17,Pollux,0034,3.7790999999999997e+30,6122160000.000001,41172718452.31094
18,18,18,Fomalhaut,0025,3.7790999999999997e+30,1252260000.0,201288845766.8535
19,19,19,Deneb,"2,600",3.7791e+31,141227100000.0,17848272038.440216
20,20,20,Mimosa,0350,3.1824e+31,5843880000.0,363227992361.23944
21,21,21,Regulus,0077,7.558199999999999e+30,2156670000.0,233754788632.47504
22,22,22,Adhara,0430,2.48625e+31,9739800000.0,170263121419.331
23,23,23,Shaula,0700,2.88405e+31,6122160000.000001,314212851346.5835
24,24,24,Castor,0052,5.5692e+30,1669680000.0,222477145321.25912
25,25,25,Gacrux,0088,2.9835e+30,58438800000.0,3405262428.3866196
26,26,26,Bellatrix,0240,1.7105399999999998e+31,4035060000.0,282754204398.4476
27,27,27,Elnath,0130,9.945e+30,2921940000.0,227017495225.77463
28,28,28,Miaplacidus,0110,6.9615e+30,4730760000.0,98151681759.37904
29,29,29,Alnilam,"2,000",6.3648e+31,29219400000.0,145291196944.4958
30,30,30,Gamma Velorum,"01,100",1.7900999999999998e+31,4174200000.0,286042043984.476
31,31,31,Alnair,0101,7.956e+30,2365380000.0,224346701164.29492
32,32,32,Alioth,0081,5.7681e+30,2921940000.0,131670147230.9493
33,33,33,Alnitak,01050,6.5637e+31,13914000000.0,314646248382.92365
34,34,34,Dubhe,0120,8.453249999999999e+30,20871000000.0,27015081931.86718
35,35,35,Mirfak,0590,1.6906499999999999e+31,47307600000.0,23836836998.706337
36,36,36,Wezen,"1,600",3.3812999999999997e+31,139140000000.0,16209049159.12031
37,37,37,Sargas,0270,1.13373e+31,18088200000.0,41806144890.03881
38,38,38,Kaus Australis,0140,6.9615e+30,4730760000.0,98151681759.37904
39,39,39,Avior,0630,1.7900999999999998e+31,90441000000.0,13201940491.591202
40,40,40,Alkaid,0104,1.2132899999999998e+31,2365380000.0,342128719275.54974
41,41,41,Menkalinan,081,4.75371e+30,1927089000.0,164534412785.2943
42,42,42,Atria,0390,1.3923e+31,64004400000.0,14509379042.690815
43,43,43,Alhena,0109,5.5692e+30,2295810000.0,161801560233.64304
44,44,44,Peacock,0180,1.17351e+31,3339360000.0,234395563820.61237
45,45,45,Alsephina[2],0080,4.7735999999999997e+30,2017530000.0,157816300129.3661
46,46,46,Mirzam,0500,2.68515e+31,6957000000.0,257437839586.02847
47,47,47,Polaris,0430,1.07406e+31,27132300000.0,26403880983.18241
48,48,48,Alphard,0180,5.967e+30,34785000000.0,11441681759.379042
49,49,49,Mintaka,01200,4.7736e+31,11479050000.0,277374103257.67377
50,50,50,Scheat,0196,4.1769e+30,66091500000.0,4215356437.6659627
51,51,51,Almaaz,0653,2.9835e+31,97398000000.0,20431574570.319717
52,52,52,Rasalgethi,0360,5.5692e+30,194796000000.0,1906946959.896507
53,53,53,Tau Ceti,011.9,1.557387e+30,621260100.0,167204867816.2335
54,54,54,Delta Pavonis,019.92,1.9710989999999998e+30,848754000.0,154900363709.6261
55,55,55,Ran,010.48,1.6309799999999997e+30,514818000.0,211310338799.34265
56,56,56,V382 Carinae,"08,900",3.978e+31,337414500000.0,7863698803.696937
57,57,57,Eta Carinae,"07,500",1.989e+32,327326850000.0,40530222314.48475
58,58,58,Delta Cephei,0887,8.950499999999999e+30,30958650000.0,19283733302.324226
59,59,59,Mu Cephei,"06,000",3.8188799999999997e+31,676220400000.0,3766808809.672113
60,60,60,Titawin,044.25,2.52603e+30,1029636000.0,163636664801.93002
61,61,61,Rho Cassiopeiae,"08,154",4.3758e+31,562473450000.0,5188971319.446278
62,62,62,P Cygni,"05,545",5.967e+31,52873200000.0,75274222101.1779
64,64,64,VV Cephei,"04,900",3.61998e+31,544733100000.0,4432494849.312443
65,65,65,61 Cygni,011.41,1.3923e+30,462640500.0,200731258936.47443
66,66,66,R Doradus,0178,1.6906499999999997e+30,207318600000.0,543927824.1315539
67,67,67,Polaris Australis,0281,3.16251e+30,2601918000.0,81070739738.91566
68,68,68,R Coronae Borealis,"04,566",1.6906499999999997e+30,59134500000.0,1906946959.8965068
69,69,69,54 Piscium,036.1,1.51164e+30,653958000.0,154178690374.6112
70,70,70,Mira,0300,2.3867999999999998e+30,257409000000.0,618469284.290759
71,71,71,RW Cephei,"014,000",2.76471e+31,805620600000.0,2288995055.4888988
72,72,72,Lacaille 8760,012.87,1.1933999999999999e+30,354807000.0,224346701164.29492
73,74,74,HD 140283,0202,1.61109e+30,1419228000.0,75717011642.94954
74,75,75,II Pegasi,0130,1.5912e+30,2365380000.0,44869340232.858986
75,76,76,VY Canis Majoris,"03,900",3.3812999999999997e+31,987894000000.0,2282964670.298635
76,77,77,Pistol Star,"025,000",1.989e+32,222624000000.0,59592092496.76585
77,78,78,S Doradus,"0169,000",4.7736e+31,264366000000.0,12043875536.188465
78,79,79,UY Scuti,"05,100",1.6906499999999999e+31,525253500000.0,2146893928.360306
79,80,80,Barnard's Star,05.98,2.7846e+29,139140000.0,133486287192.7555
80,81,81,HE 1523-0901,"010,000",1.5912e+30,18783900000.0,5650213214.508169
81,82,82,Proxima Centauri,04.25,2.3868e+29,104355000.0,152555756791.72055
82,83,83,KIC 8462852,"01,470",2.84427e+30,1099206000.0,172590769155.1902
83,84,84,R136a1,"0163,000",5.7680999999999994e+32,22262400000.0,1728170682406.2092
84,85,85,Melnick 42,"0163,000",3.75921e+32,14679270000.000002,1708118366921.5156
85,86,86,WR 102,"018,134",3.7791e+31,271323000.0,9290254420008.623
86,87,87,VFTS 352,"0164,000",1.1432771999999998e+32,10066779000.0,757507334173.1251
87,88,88,YBP 1194,"02,772",2.00889e+30,688743000.0,194547114090.45172
88,89,89,Gliese 1214,047.5,3.1824e+29,146097000.0,145291196944.4958
89,91,91,NML Cygni,"05,251",9.945e+31,1534018500000.0,4324142766.205232
90,92,92,VB 10,018.72,1.4917499999999999e+29,69570000.0,143021021992.238
91,93,93,WOH G64,"0163,000",3.978e+31,1137469500000.0,2332656831.6776843
92,94,94,TRAPPIST-1,039.6,1.7702099999999997e+29,83484000.0,141431899525.6576
93,95,95,2MASS J0523-1403,040.3,1.3923e+29,59830199.99999999,155216613014.832
94,98,98,SDSS J000013.54+255418.6 [de],46.1,9.810989135999999e+30,657465.802884,995326254994068.1
95,99,99,2MASS J00040288-6410358,192.0,3.883516533e+30,1082494.200708,239290476181472.7
96,100,100,2MASS J00242463-0158201,37.7,1.6147252952999997e+31,723876.4900440001,1487852951129320.5
97,101,101,2MASS J00274197+0503417,236.0,6.336263816999999e+30,956313.895104,441935225199189.1
98,102,102,2MASSW J0030300-145033,87.2,1.1037362777999998e+31,650824.7341679999,1131167976020044.2
99,103,103,2MASS J00332386-1521309 [de],131.0,5.927472602999999e+30,949672.826388,416314347040788.1
100,104,104,2MASS J00345157+0523050,31.0,8.584615494e+30,624260.459304,917235498285757.1
101,105,105,2MASS 0036+1821,28.6,8.584615494e+30,624260.459304,917235498285757.1
102,106,106,2MASSW J0045214+163445,57.0,4.701098961e+30,1075853.1319920002,291455489020253.75
103,107,107,WISEP J004701.06+680352.1 [fr],40.0,2.4527472839999997e+30,863338.9330800001,189494806239255.25
104,108,108,2MASS J00501994-3322402 [de],34.0,8.175824279999999e+30,624260.459304,873557617415006.5
105,109,109,2MASS J00584253-0651239 [de],96.0,5.927472602999999e+30,949672.826388,416314347040788.1
106,110,110,2MASSI J0103320+193536,70.0,1.0628571563999997e+31,650824.7341679999,1089272865797079.6
107,111,111,SDSSp J010752.33+004156.1 [de],51.0,1.0628571563999997e+31,650824.7341679999,1089272865797079.6
108,112,112,2MASSI J0117474-340325 [de],163.0,4.0879121399999993e+30,1075853.1319920002,253439555669785.8
109,113,113,2MASS J01415823-4633574 [de],130.0,4.0879121399999993e+30,1069212.063276,255013714400654.06
110,114,114,SDSS J015141.69+124429.6,70.0,9.606593528999999e+30,644183.665452,994684936530798.8
111,115,115,SDSS J020742.48+000056.2 [de],111.0,9.606593528999999e+30,644183.665452,994684936530798.8
112,116,116,2MASS J02103857-3015313,101.0,3.0659341049999996e+30,1016083.513548,201260823620124.06
113,117,117,2MASS J02340093-6442068,155.0,4.0879121399999993e+30,1075853.1319920002,253439555669785.8
114,118,118,2MASS J02411151-0326587 [de],152.0,5.518681388999999e+30,936390.6889559999,393100927836752.94
115,119,119,2MASS J02431371−2453298,35.0,6.745055030999999e+30,657465.802884,684286800308421.8
116,120,120,LP 771-21,53.0,1.5942857346e+31,717235.4213280001,1482621400668247.2
117,121,121,2MASS J02535980+3206373,184.0,1.3285714455e+31,1261803.05604,702294347684959.4
118,122,122,WISE J0254+0223,24.0,1.3285714455e+31,1261803.05604,702294347684959.4
119,123,123,DEN 0255-4700,16.2,1.6351648559999997e+31,644183.665452,1693080743031146.8
120,124,124,2MASS J03185403-3421292 [de],45.0,1.0015384743e+31,644183.665452,1037011955106577.5
121,125,125,2MASS J03205965+1854233,47.0,1.7986813415999999e+31,763722.90234,1570884480708029.2
122,126,126,2MASS J03231002-4631237,192.0,4.701098961e+30,1102417.406856,284432465188440.44
123,127,127,SDSS J032553.17+042540.1,59.0,9.197802314999998e+30,630901.52802,972407558333020.5
124,128,128,2MASS J03264225-2102057 [de],80.0,3.6791209259999996e+30,863338.9330800001,284242209358882.9
